Listing,Price,Kilometres,"Location,",Transmission
,,,,
b'1993 Nissan 240 SX',"b'$8,000'","b'117,000\xc2\xa0km'",b'Southwest',b'Southwest'
,,,,
b'1991 Nissan 240 SX S13',"b'$15,000'","b'215,000\xc2\xa0km'",b'Old Toronto',b'Old Toronto'
,,,,
b'1993 Nissan 240 SX SE',"b'$8,000'","b'117,000\xc2\xa0km'",b'Montreal',b'Montreal'
,,,,
b'1993 Nissan 240 SX',"b'$7,000'","b'220,000\xc2\xa0km'",b'-',b'-'
,,,,
b'1989 Nissan 240 SX',"b'$8,200'","b'180,000\xc2\xa0km'",b'-',b'-'
,,,,
b'2001 Nissan 240 SX S15 Silvia Autech',"b'$18,600'","b'69,000\xc2\xa0km'",b'Southeast Calgary',b'Southeast Calgary'
,,,,
b'1995 Nissan 240 SX SE',"b'$6,000'","b'288,000\xc2\xa0km'",b'Etobicoke',b'Etobicoke'
,,,,
b'1992 Nissan 240 SX',"b'$2,400'",b'1\xc2\xa0km',b'-',b'-'
,,,,
b'1990 Nissan 240 SX',"b'$4,800'",b'1\xc2\xa0km',b'-',b'-'
,,,,
b'1995 Nissan 240 SX',"b'$4,500'","b'12,345\xc2\xa0km'",b'-',b'-'
,,,,
b'1994 Nissan 240 SX',"b'$2,500'","b'12,345\xc2\xa0km'",b'Regina',b'Regina'
,,,,
b'1989 Nissan 240 SX',"b'$5,500'","b'75,000\xc2\xa0km'",b'-',b'-'
,,,,
b'1990 Nissan 240 SX',"b'$7,800'","b'102,000\xc2\xa0km'",b'-',b'-'
,,,,
b'1995 Nissan 240 SX LE',"b'$13,300'","b'150,490\xc2\xa0km'",b'College Park',b'College Park'
,,,,
b'1995 Nissan 240 SX',"b'$18,999'","b'200,000\xc2\xa0km'",b'Brossard',b'Brossard'
,,,,
b'1996 Nissan 240 SX Le',"b'$12,999'","b'167,000\xc2\xa0km'",b'-',b'-'
,,,,
b'1996 Nissan 240 SX',"b'$25,000'","b'180,000\xc2\xa0km'",b'-',b'-'
,,,,
b'1996 Nissan 240 SX LE',"b'$12,999'","b'167,000\xc2\xa0km'",b'Markham',b'Markham'
,,,,
b'1989 Nissan 240 SX RB20DET',"b'$4,500'","b'150,000\xc2\xa0km'",b'Saint-Hubert',b'Saint-Hubert'
,,,,
b'1993 Nissan 240 SX',"b'$12,500'","b'220,000\xc2\xa0km'",b'Southeast Calgary',b'Southeast Calgary'
